rise_timestamp,dt_minutes,delta_T_oti_units,power_scenario_kw,power_kw,energy_kj,c_oil_scenario,c_kj_per_kg_k,critical_mass_kg,assumption
2019-07-16 13:38:00,8.0,198.0,local_max_kw_30min,96.882,46503.36,mineral_oil_typical_low,1.8,130.48080808080806,100% of electrical energy into oil heat (EXTREME upper bound); OTI units unconfirmed; oil type unknown
2019-07-16 13:38:00,8.0,198.0,local_max_kw_30min,96.882,46503.36,mineral_oil_typical_high,2.1,111.84069264069264,100% of electrical energy into oil heat (EXTREME upper bound); OTI units unconfirmed; oil type unknown
2019-07-16 13:38:00,8.0,198.0,global_max_kw,142.147,68230.56,mineral_oil_typical_low,1.8,191.44377104377102,100% of electrical energy into oil heat (EXTREME upper bound); OTI units unconfirmed; oil type unknown
2019-07-16 13:38:00,8.0,198.0,global_max_kw,142.147,68230.56,mineral_oil_typical_high,2.1,164.09466089466088,100% of electrical energy into oil heat (EXTREME upper bound); OTI units unconfirmed; oil type unknown
2019-07-16 13:38:00,8.0,198.0,parameterized_500kw,500.0,240000.0,mineral_oil_typical_low,1.8,673.4006734006733,100% of electrical energy into oil heat (EXTREME upper bound); OTI units unconfirmed; oil type unknown
2019-07-16 13:38:00,8.0,198.0,parameterized_500kw,500.0,240000.0,mineral_oil_typical_high,2.1,577.2005772005772,100% of electrical energy into oil heat (EXTREME upper bound); OTI units unconfirmed; oil type unknown
2019-07-16 13:38:00,8.0,198.0,parameterized_1500kw,1500.0,720000.0,mineral_oil_typical_low,1.8,2020.20202020202,100% of electrical energy into oil heat (EXTREME upper bound); OTI units unconfirmed; oil type unknown
2019-07-16 13:38:00,8.0,198.0,parameterized_1500kw,1500.0,720000.0,mineral_oil_typical_high,2.1,1731.6017316017314,100% of electrical energy into oil heat (EXTREME upper bound); OTI units unconfirmed; oil type unknown
2019-08-09 14:20:00,3.0,196.0,local_max_kw_30min,85.728,15431.039999999997,mineral_oil_typical_low,1.8,43.73877551020407,100% of electrical energy into oil heat (EXTREME upper bound); OTI units unconfirmed; oil type unknown
2019-08-09 14:20:00,3.0,196.0,local_max_kw_30min,85.728,15431.039999999997,mineral_oil_typical_high,2.1,37.490379008746345,100% of electrical energy into oil heat (EXTREME upper bound); OTI units unconfirmed; oil type unknown
2019-08-09 14:20:00,3.0,196.0,global_max_kw,142.147,25586.46,mineral_oil_typical_low,1.8,72.52397959183673,100% of electrical energy into oil heat (EXTREME upper bound); OTI units unconfirmed; oil type unknown
2019-08-09 14:20:00,3.0,196.0,global_max_kw,142.147,25586.46,mineral_oil_typical_high,2.1,62.163411078717196,100% of electrical energy into oil heat (EXTREME upper bound); OTI units unconfirmed; oil type unknown
2019-08-09 14:20:00,3.0,196.0,parameterized_500kw,500.0,90000.0,mineral_oil_typical_low,1.8,255.10204081632654,100% of electrical energy into oil heat (EXTREME upper bound); OTI units unconfirmed; oil type unknown
2019-08-09 14:20:00,3.0,196.0,parameterized_500kw,500.0,90000.0,mineral_oil_typical_high,2.1,218.65889212827986,100% of electrical energy into oil heat (EXTREME upper bound); OTI units unconfirmed; oil type unknown
2019-08-09 14:20:00,3.0,196.0,parameterized_1500kw,1500.0,270000.0,mineral_oil_typical_low,1.8,765.3061224489795,100% of electrical energy into oil heat (EXTREME upper bound); OTI units unconfirmed; oil type unknown
2019-08-09 14:20:00,3.0,196.0,parameterized_1500kw,1500.0,270000.0,mineral_oil_typical_high,2.1,655.9766763848396,100% of electrical energy into oil heat (EXTREME upper bound); OTI units unconfirmed; oil type unknown
2019-08-16 09:39:00,9.0,202.0,local_max_kw_30min,49.26,26600.399999999998,mineral_oil_typical_low,1.8,73.15841584158414,100% of electrical energy into oil heat (EXTREME upper bound); OTI units unconfirmed; oil type unknown
2019-08-16 09:39:00,9.0,202.0,local_max_kw_30min,49.26,26600.399999999998,mineral_oil_typical_high,2.1,62.70721357850069,100% of electrical energy into oil heat (EXTREME upper bound); OTI units unconfirmed; oil type unknown
2019-08-16 09:39:00,9.0,202.0,global_max_kw,142.147,76759.37999999999,mineral_oil_typical_low,1.8,211.10940594059403,100% of electrical energy into oil heat (EXTREME upper bound); OTI units unconfirmed; oil type unknown
2019-08-16 09:39:00,9.0,202.0,global_max_kw,142.147,76759.37999999999,mineral_oil_typical_high,2.1,180.950919377652,100% of electrical energy into oil heat (EXTREME upper bound); OTI units unconfirmed; oil type unknown
2019-08-16 09:39:00,9.0,202.0,parameterized_500kw,500.0,270000.0,mineral_oil_typical_low,1.8,742.5742574257425,100% of electrical energy into oil heat (EXTREME upper bound); OTI units unconfirmed; oil type unknown
2019-08-16 09:39:00,9.0,202.0,parameterized_500kw,500.0,270000.0,mineral_oil_typical_high,2.1,636.4922206506365,100% of electrical energy into oil heat (EXTREME upper bound); OTI units unconfirmed; oil type unknown
2019-08-16 09:39:00,9.0,202.0,parameterized_1500kw,1500.0,810000.0,mineral_oil_typical_low,1.8,2227.7227722772277,100% of electrical energy into oil heat (EXTREME upper bound); OTI units unconfirmed; oil type unknown
2019-08-16 09:39:00,9.0,202.0,parameterized_1500kw,1500.0,810000.0,mineral_oil_typical_high,2.1,1909.4766619519094,100% of electrical energy into oil heat (EXTREME upper bound); OTI units unconfirmed; oil type unknown
2019-08-16 12:39:00,9.0,206.0,local_max_kw_30min,84.835,45810.9,mineral_oil_typical_low,1.8,123.54611650485437,100% of electrical energy into oil heat (EXTREME upper bound); OTI units unconfirmed; oil type unknown
